Service,Number,Name,Address,Dept,CP,Ville,Latitude,Longitude,WGS84
Vélib,13039,13039 - IVRY POINTE D'IVRY,2 RUE DE LA POINTE D'IVRY - 75013 PARIS,75,75013,PARIS,48.82321968,2.365469628,48.82321968
Vélib,12025,12025 - BERCY,FACE 14 PL. DU BATAILLON DU PACIFIQUE - 75012 PARIS,75,75012,PARIS,48.84026772,2.379519528,48.84026772
Vélib,14019,14019 - SARETTE GENERAL LECLERC,58 RUE SARRETTE - 75014 PARIS,75,75014,PARIS,48.82503085,2.326412869,48.82503085
Vélib,18049,18049 - PTE D'AUBERVILLIERS,3-5 BOULEVARD NEY - 75018 PARIS,75,75018,PARIS,48.89845217,2.369609463,48.89845217
Vélib,20008,20008 - MARAICHERS,73 RUE DES PYRENEES - 75020 PARIS,75,75020,PARIS,48.8532469,2.405871045,48.8532469
Vélib,21001,21001 - TRANSVAL (BOULOGNE-BILLANCOURT),11 RUE DU TRANSVAL - 92100 BOULOGNE-BILLANCOURT,92,92100,BOULOGNE-BILLANCOURT,48.84829981,2.23757011,48.84829981
Vélib,21306,21306 - LAFAYETTE (ISSY LES MOULINEAUX),PLACE LAFAYETTE - 92130 ISSY LES MOULINEAUX,92,92130,ISSY-LES-MOULINEAUX,48.82974339,2.263816342,48.82974339
Vélib,21706,21706 - BLEUZEN (VANVES),74 RUE JEAN BLEUZEN - 92170 VANVES,92,92170,VANVES,48.82330323,2.296506344,48.82330323
Vélib,42016,42016 - CURIE (IVRY),1 BIS RUE PIERRE ET MARIE CURIE - 94200 IVRY,94,94200,IVRY-SUR-SEINE,48.81584739,2.376943795,48.81584739
Vélib,15020,15020 - MAIRIE DU 15EME,4 RUE LEON SECHE - 75015 PARIS,75,75015,PARIS,48.84170964,2.298549294,48.84170964
Vélib,15005,15005 - PLACE TREFOUEL,FACE 24 BOULEVARD PASTEUR - 75015 PARIS,75,75015,PARIS,48.8426508,2.31272739,48.8426508
Vélib,17115,17115 - PORTE DE SAINT OUEN,22 AVENUE DE LA PORTE DE SAINT OUEN - 75017 PARIS,75,75017,PARIS,48.89876008,2.329558517,48.89876008
Vélib,19113,19113 - PRE ST GERVAIS,27 RUE DU PRE SAINT GERVAIS - 75019 PARIS,75,75019,PARIS,48.87792341,2.395985554,48.87792341
Vélib,3101,03101 - PORTE SAINT MARTIN,62 RUE MESLAY - 75003 PARIS,75,75003,PARIS,48.86863641,2.355591593,48.86863641
Vélib,6018,06018 - MICHELET ASSAS,13 RUE MICHELET - 75006 PARIS,75,75006,PARIS,48.84254097,2.335067886,48.84254097
Vélib,6108,06108 - SAINT ROMAIN CHERCHE MIDI,20 RUE SAINT ROMAIN - 75006 PARIS,75,75006,PARIS,48.84703008,2.321289421,48.84703008
Vélib,9003,09003 - PLACE BARBÈS,PLACE BARBES - 75009 PARIS,75,75009,PARIS,48.8836532,2.349040855,48.8836532
Vélib,9013,09013 - MAIRIE DU 9EME,20 RUE DE LA GRANGE BATELIERE - 75009 PARIS,75,75009,PARIS,48.87326714,2.340753448,48.87326714
Vélib,10031,10031 - AQUEDUC,48 RUE LOUIS BLANC - 75010 PARIS,75,75010,PARIS,48.88199721,2.363625215,48.88199721
Vélib,12021,12021 - COURTELINE,1 - 3  et 5 avenue Courteline (angle boulevard Soult) - 75012 PARIS,75,75012,PARIS,48.84437319,2.410972452,48.84437319
Vélib,12014,12014 - NATION,16 PLACE DE LA NATION SUR TPC - 75012 PARIS,75,75012,PARIS,48.8473018,2.395520565,48.8473018
Vélib,13101,13101 - CROULEBARBE RECULETTES,67-69 RUE DE CROULEBARBE - 75013 PARIS,75,75013,PARIS,48.83112178,2.348108655,48.83112178
Vélib,13011,13011 - COMPO FORMIO,112 BD DE L'HOPITAL - 75013 PARIS,75,75013,PARIS,48.83540571,2.358218345,48.83540571
Vélib,14030,14030 - LOSSERAND - PERNETY,61 RUE PERNETY - 75014 PARIS,75,75014,PARIS,48.83425463,2.317609339,48.83425463
Vélib,15056,15056 - BALARD,13 PLACE BALARD - 75015 PARIS,75,75015,PARIS,48.83653729,2.278717697,48.83653729
Vélib,17018,17018 - MONCEAU,4 RUE DE THANN - 75017 PARIS,75,75017,PARIS,48.88116198,2.309512381,48.88116198
Vélib,19027,19027 - SERRURIER,FACE 109 BOULEVARD SERURIER - 75019 PARIS,75,75019,PARIS,48.88060605,2.397896291,48.88060605
Vélib,2007,02007 - CHABANAIS,1 RUE CHABANAIS - 75002 PARIS,75,75002,PARIS,48.86712345,2.336686608,48.86712345
Vélib,6004,06004 - REGARD,19 RUE DU REGARD - 75006 PARIS,75,75006,PARIS,48.84751783,2.326973306,48.84751783
Vélib,8025,08025 - MIROMESNIL,39 RUE DE MIROMESNIL - 75008 PARIS,75,75008,PARIS,48.87376047,2.315876308,48.87376047
Vélib,10012,10012 - VINAIGRIERS,58 RUE DES VINAIGRIERS - 75010 PARIS,75,75010,PARIS,48.87326784,2.359323613,48.87326784
Vélib,11008,11008 - FAIDHERBE CHALIGNY,223 RUE DU FAUBOURG SAINT ANTOINE - 75011 PARIS,75,75011,PARIS,48.85037975,2.383869335,48.85037975
Vélib,31004,31004 - PARIS 2 (MONTREUIL),175/179 RUE DE PARIS - 93100 MONTREUIL,93,93100,MONTREUIL,48.85550131,2.422055734,48.85550131
Vélo2,50021,50021 - CER21 - DALLE PIÉTONNE GRAND CENTRE,BOULEVARD DE L'OISE / RUE DE LA GARE - 95000 CERGY,95,95000,CERGY,49.03600659,2.080075108,49.03600659
Vélib,19013,19013 - LAUMIERE,8 & 1 RUE PETIT - 75019 PARIS,75,75019,PARIS,48.88458074,2.38012665,48.88458074
Vélib,14004,14004 - PORT ROYAL COCHIN,111 BD PORT ROYAL - 75014 PARIS,75,75014,PARIS,48.83843183,2.340794667,48.83843183
Vélib,15019,15019 - VAUGIRARD CAMBRONNE,3 RUE PAUL BARRUEL - 75015 PARIS,75,75015,PARIS,48.84005772,2.304507421,48.84005772
Vélib,16022,16022 - RUE JEAN BOLOGNE,16 RUE JEAN BOLOGNE - 75016 PARIS,75,75016,PARIS,48.85756689,2.280027395,48.85756689
Vélib,17039,17039 - PLACE SAINT FERDINAND,26 RUE SAINT FERDINAND - 75017 PARIS,75,75017,PARIS,48.8781553,2.288518048,48.8781553
Vélib,19119,19119 - BOURET PAILLERON,20 RUE EDOUARD PAILLERON - 75019 PARIS,75,75019,PARIS,48.88057446,2.376853001,48.88057446
Vélib,21107,21107 - SINCHOLLE (CLICHY),RUE BERTRAND SINCHOLLE - 92110 CLICHY,92,92110,CLICHY,48.89935964,2.304040561,48.89935964
